Postagem,Funcionalidade,Tipo,Sentimento,Intenção,Facetas de Usabilidade,Facetas de UX
"Uso ele a quase 2 anos, é o único app que me ajudou a emagrecer de verdade, porém já faz um tempinho que não dá pra acompanhar o meu progresso no gráfico, poderiam arrumar isso por favor",Progresso,Elogio / Crítica,Neutra,Reflexiva,"Utilidade, Satisfação / Eficácia","Satisfação, Afeto / "
"Muito bom ! Nos ajuda a monitorar o que comemos nos dando uma média de calorias diárias sem nos dar o alimento , assim podemos comer de tudo e ainda assim permanecer na ""dieta """,Média de calorias diárias,Elogio,Positiva,Reflexiva,"Utilidade, Satisfação",Satisfação
O app me fez perceber os excessos que cometo,,Elogio,Positiva,Reflexiva,Utilidade,Motivação
Me ajuda muito,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"Muito bom, recomendo para quem precisa fazer uma reeducação alimentar e emagrecer",,Elogio,Positiva,Reflexiva,Satisfação,"Satisfação, Motivação"
Gostei muito!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Adoro,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Ótimo app!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Ótimo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Adorei,,Elogio,Positiva,Visceral,Satisfação,Satisfação
esse App ajuda muito a todas as pessoas que precisam se cuidar em relação a alimentação,,Elogio,Positiva,Reflexiva,"Utilidade, Satisfação","Satisfação, Motivação"
Parabéns,,Elogio,Positiva,Visceral,Satisfação,Satisfação
App muito bom! Fácil de usar e me ajuda muito manter o foco na dieta!,,Elogio,Positiva,Reflexiva,"Aprendizado, Utilidade, Satisfação","Satisfação, Motivação"
Fabuloso,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Ótimo pra quem faz dieta Flexível,,Elogio,Positiva,Reflexiva,Satisfação,"Satisfação, Motivação"
App fácil e prático,,Elogio,Positiva,Reflexiva,"Aprendizado, Satisfação",Satisfação
Muito bom e precisa ser utilizado com disciplina,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
O melhor!!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Bom de usar,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Ótimo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Ótimo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Ótimo! Me ajudou muito,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Gostei bastante! Ajuda a controlar as calorias consumidas,Controlar calorias consumidas,Elogio,Positiva,Reflexiva,Satisfação,"Satisfação, Motivação"
bem legal!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"Não abre, só trava!!",App travando,Crítica,Negativa,Comportamental,Utilidade,
O aplicativo é ótimo e realmente ajuda você a se policiar,,Elogio,Positiva,Reflexiva,Satisfação,"Satisfação, Motivação"
mas no Android ele trava e fecha constantemente,App travando,Crítica,Negativa,Comportamental,Utilidade,
"Ainda em validação, falta poder testar os recursos da área Premium, porém pagar por test drive é bem complicado",Testar recursos da área Premium,Sugestão,Neutra,Reflexiva,Utilidade,Frustração
"Quando tento ver meu progresso, o aplicativo trava",Progresso,Crítica,Negativa,Comportamental,Eficácia,
Ótimo e funcional!,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
App está travando quando acessamos o item Progresso,Progresso,Crítica,Negativa,Comportamental,Eficácia,
"Excelente aplicativo,",,Elogio,Positiva,Visceral,Satisfação,Satisfação
Tem me ajudado bastante,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
"App bom mas o widget dele é muito ruim, grande, desajeitado e não há como personalizar a cor (que é mtu forte)",Widget ruim,Elogio  / Crítica,Neutra,Reflexiva,Satisfação /  ,"Satisfação / Estética, Frustração"
Muito bom!!! Tem muitos alimentos no cadastro!!! Show,Muitos alimentos no cadastro,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Adoro! Consigo emagrecer de verdade,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
E não possui propagandas chatas,Não possui propagandas,Elogio,Positiva,Visceral,Satisfação,Satisfação
"Ajuda no controle da alimentação, nutrientes, estou amando!",,Elogio,Positiva,Reflexiva,Satisfação,"Satisfação, Motivação"
"Maravilhoso, super completo, está me ajudando muito no meu controle de alimentação diária",,Elogio,Positiva,Reflexiva,Satisfação,"Satisfação, Motivação"
Ajuda muito a controlar e organizar a dieta,,Elogio,Positiva,Reflexiva,Satisfação,"Satisfação, Motivação"
O melhor que ja baixei,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Fiquei chateado por alguns motivos,,Crítica,Positiva,Visceral,,Frustração
"Primeiro o APP não faz o calculo automático das calorias para mostrar o quanto você já perdeu de peso; Segundo o APP mistura calorias ganhas com calorias perdidas com atividade física; Terceiro alguns alimentos não existem e outros nada de proteína, gordura e etc, tudo do alimento é zero e isso não existem",Cálculo automático das calorias / Mistura calorias ganhas com calorias perdidas com atividade física / Falta de alguns alimentos,Crítica,Negativa,Reflexiva,Utilidade / Eficácia,Frustração
"Enfim o APP é bom, mas precisa de ajustes",,Elogio / Crítica,Neutra,Reflexiva,"Satisfação, Utilidade",Satisfação
Excelente!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"Aplicativo muito bom, recomendo !!",,Elogio,Positiva,Visceral,Satisfação,Satisfação
Gosto de fazer o controle de calorias pelo app e detalhar o progresso no emagrecimento,Controle de calorias,Elogio,Positiva,Reflexiva,"Utilidade, Satisfação",Satisfação
Mas há poucas atualizações nas dicas e,Atualizações nas dicas,Crítica,Negativa,Reflexiva,Utilidade,
Ótimo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Muito útil e bom pra acompanhar o desempenho dos treinos,Acompanhar desempenho dos treinos,Elogio,Positiva,Reflexiva,"Utilidade, Satisfação",Satisfação
O app é muito bom pra controle de alimentos,,Elogio,Positiva,Reflexiva,"Utilidade, Satisfação","Satisfação, Motivação"
Muito bom para acompanhar seus macros,Acompanhar macros,Elogio,Positiva,Reflexiva,Satisfação,"Satisfação, Motivação"
Ótimo app para acompanhar os macros diários,Acompanhar macros,Elogio,Positiva,Reflexiva,Satisfação,"Satisfação, Motivação"
É muito bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
É bom para quem está começando a se reeducar na alimentação e voltando aos treinos,,Elogio,Positiva,Reflexiva,Satisfação,"Satisfação, Motivação"
O app te ajuda a ter disciplina e a escolher os alimentos corretos para atingir sua meta!!!,,Elogio,Positiva,Reflexiva,Satisfação,"Satisfação, Motivação"
"Funciona bem mas os valores são arredondados, a mensalidade considero cara, há muita informação podre como alimentos sem tabela nutricional básica o q não ajuda muito na pesquisa ao lançar no diário","Valores arredondados, Mensalidade cara, Pesquisa ao lançar o diário",Elogio / Crítica,Neutra,Reflexiva,Satisfação / Eficácia,Satisfação / Frustração
O app soh deveria aceitar itens com um mínimo de informações cadastradas,Aceitar itens com um mínimo de informações cadastradas,Sugestão,Neutra,Reflexiva,Utilidade,
Muito bom pra ter noção dos alimentos ingeridos e seus nutrientes,,Elogio,Positiva,Reflexiva,Satisfação,"Satisfação, Motivação"
não é todas as opções gratuita uma pena mais é realmente um espetáculo parabéns,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Ótimo App para controle da saúde,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Top,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Ajuda a reeducação alimentar para uma dieta saudável,,Elogio,Positiva,Reflexiva,Satisfação,"Satisfação, Motivação"
Somado a atividades físicas auxilia na perda ou ganho de peso,,Elogio,Positiva,Reflexiva,Satisfação,"Satisfação, Motivação"
Muito bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Recomendo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Otimo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"Interessante, ajuda na manutenção correta da nutrição no dia a dia",,Elogio,Positiva,Reflexiva,Satisfação,"Satisfação, Motivação"
Bom app,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Maravilhoso pra uso na rotina maluca em que vivemos! Parabéns!,,Elogio,Positiva,Reflexiva,Satisfação,"Satisfação, Motivação"
Ótimo para contagem de calorias e macro nutrientes,Contar calorias e macros,Elogio,Positiva,Reflexiva,Satisfação,"Satisfação, Motivação"
Muito bom!!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"Muito útil, fácil de usar",,Elogio,Positiva,Reflexiva,"Aprendizado, Utilidade, Satisfação",Satisfação
"Ainda apresenta pequenos erros de execução, especificamente na atualização diária de peso corporal",Atualização diárias de peso corporal,Crítica,Negativa,Reflexiva,Eficácia,
Mas no geral o app cumpre o q se propõe e me agrada bastante,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Indico a todos que querem controlar melhor a dieta,,Elogio,Positiva,Reflexiva,Satisfação,"Satisfação, Motivação"
Muito bom pra contagem de macros Me ajudou a perder 20 kgs,,Elogio,Positiva,Reflexiva,Satisfação,"Satisfação, Motivação"
Funciona muito bem pra uma vida mais saudável,,Elogio,Positiva,Reflexiva,Satisfação,"Satisfação, Motivação"
Mano pq tenq ter 18 anos q droga,Cadastro do usuário (Idade mínima),Dúvida,Negativa,Reflexiva,Utilidade,Frustração
Top,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Esse app facilitou a minha vida!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"Muito bom, fácil de usar, já uso a dois anos",,Elogio,Positiva,Reflexiva,"Aprendizado, Satisfação",Satisfação
Ótimo aplicativo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"Simples, prático e eficaz",,Elogio,Positiva,Reflexiva,"Aprendizado, Eficácia, Satisfação",Satisfação
Muito bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Faz de um tudo menos contar calorias,Contar calorias,Crítica,Negativa,Reflexiva,Eficácia,Frustração
"Ou melhor, soma elas se vc souber informar quanto tem de caloria em cada alimento",Contar calorias,Crítica,Negativa,Reflexiva,Utilidade,
Se for só pra somar uso uma calculadora,Somar calorias,Crítica,Negativa,Reflexiva,Utilidade,Frustração
"Achei que bastaria incluir um item tipo ""1 copo de leite"" e ele ia somar 200 calorias",Somar calorias,Crítica,Neutra,Reflexiva,Utilidade,Confiança
"Msm usando a versão free, Eh muito bom",,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
primeiro App q dou 5 estrelas,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"App muito recomendado, ajuda muito a controlar as calorias ingeridas e logo perder peso",,Elogio,Positiva,Reflexiva,Satisfação,"Satisfação, Motivação"
Cumpre o que promete,,Elogio,Positiva,Reflexiva,"Eficácia, Satisfação",Satisfação
"Estou usando o app a pouco tempo, tem me ajudado muito a principalmente entender o que consumo",,Elogio,Positiva,Reflexiva,"Utilidade, Satisfação","Satisfação, Motivação"
Muito bom!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Melhor app para controlar a dieta e traçar metas,,Elogio,Positiva,Reflexiva,Satisfação,"Satisfação, Motivação"
Ta me ajudando muito a controlar a alimentação,,Elogio,Positiva,Reflexiva,Satisfação,"Satisfação, Motivação"
Muito bom!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"Muito bom o app, mas está faz tempo com um problema para inserir o peso e a foto de acompanhamento, e também para vêlas depois",Inserir e visualizar o peso e a foto de acompanhamento,Elogio / Crítica,Neutra,Reflexiva,Satisfação / Eficácia,Satisfação / 
Muito bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"Gosto bastante do app, é de fácil uso e simples",,Elogio,Positiva,Reflexiva,"Aprendizado, Satisfação",Satisfação
"Precisa atualizar alguns alimentos, padronizando, mas ajuda muito seja qual for o objetivo",Atualizar alguns alimentos,Crítica / Elogio,Neutra,Reflexiva,"Eficácia / Utilidade, Satisfação", / Satisfação
Prefiro esse do que o FatSecret,,Comparação,Positiva,Reflexiva,"Utilidade, Satisfação",Satisfação
Aplicativo perfeito! Show de bola!,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Ao migrar para Android perdi as porções em frações e a adequação em gramas quando editada a porção,Porções em frações e adequação em gramas,Crítica,Negativa,Comportamental,Utilidade,
"Aconselho, junto ao acompanhamento de um nutricionista, é a melhor ferramenta para ajudar na dieta",,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Tenho gostado bastante,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Me ajuda até conhecer melhor o que eu como,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Só aparecem 10 itens de comida para adicionar,Itens de comida para adicionar,Crítica,Negativa,Comportamental,Utilidade,
Perfeito para dietas e manutenção do peso,,Elogio,Positiva,Reflexiva,Satisfação,"Satisfação, Motivação"
"Em 15 dias de uso consegui me disciplinar bastante e perder em torno de 3kg, não é muito mas sei que não vai ser uma perda que vou achar lá na frente pq estou mudando realmente o meu mindset em relação a comida",,Elogio,Positiva,Reflexiva,Satisfação,"Satisfação, Confiança"
"Gosto muito desse app só poderiam incluir mais exercícios,pois precisei criar todos os que faço",Incluir exercícios,Elogio / Sugestão,Positiva,Reflexiva,Satisfação / Utilidade,Satisfação / 
Porque ele não encontra na pesquisa,Pesquisa,Crítica,Negativa,Comportamental,Eficácia,
Eu gostei!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
É muito bom perdi 25 kilos,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Excelente,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"Muito top esse programa, principalmente a parte de ler códigos de barra e jogar a tabela nutricional na ingestão diária de calorias, não precisa de editar",Ler códigos de barra,Elogio,Positiva,Reflexiva,"Utilidade, Eficiência, Satisfação",Satisfação
"O aplicativo ideal para quem quer controlar a quantidade de calorias ingeridas durante o dia, seja para déficit ou superávit calórico",,Elogio,Positiva,Reflexiva,"Utilidade, Satisfação","Satisfação, Motivação"
Recomendo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"Muito bom, ajuda muito na hora de conta as calorias",,Elogio,Positiva,Reflexiva,Satisfação,"Satisfação, Motivação"
App muito bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Com uma semana que usei já consegui o resultado que me proporcionou,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Muito bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Dá pra seguir tudo o que eu como e perco em relação as calorias,,Elogio,Positiva,Reflexiva,"Utilidade, Satisfação",Satisfação
Tenho ele no meu celular há bastante tempo,,Elogio,Positiva,Visceral,,Engajamento
Estão de parabéns!,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Aplicativo maravilhoso!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
OTIMO,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Devia ter mais opção para adicionar exercícios,Adicionar mais opções de exercícios,Sugestão,Neutra,Reflexiva,Utilidade,
"Muito bom, estimula bastante, show",,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
"Ótimo app, muito prático",,Elogio,Positiva,Reflexiva,"Aprendizado, Satisfação",Satisfação
"App bem completo, prático e com informações precisas",,Elogio,Positiva,Reflexiva,"Aprendizado, Eficiência, Satisfação",Satisfação
Utilizo diariamente para conferência e controle dos nutrientes e o resultado tem sido excelente,,Elogio,Positiva,Reflexiva,"Utilidade, Satisfação","Satisfação, Motivação"
Muito bom!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Top já perdi 5kg em 16 dias,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
"Muito bom, pois não calcula apenas as calorias, te da um feedback de todos os nutrientes, então você consegue se policiar e sai daquela idéia: só uma mordidinha",Feedback dos nutrientes,Elogio,Positiva,Reflexiva,"Eficácia, Eficiência, Satisfação",Satisfação
"Muito bom! Minha esposa já eliminou 10 kg em 40 dias, controlando a dieta com o APP e caminhando 90min três vezes na semana",,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Bastante util,,Elogio,Positiva,Visceral,"Utilidade, Satisfação",Satisfação
Não consigo cria conta nessa merd#@&,Cadastro do usuário,Crítica,Negativa,Visceral,Eficácia,Frustração
App trava muito,App travando,Crítica,Negativa,Visceral,Eficiência,
Deixei a desejar,,Crítica,Negativa,Visceral,,Frustração
Ótimo App indicado pelo Caio Bottura,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Ótimo aplicativo auxilia em minha dieta,,Elogio,Positiva,Reflexiva,"Utilidade, Satisfação","Satisfação, Motivação"
"Faz tempo que uso e gosto bastante, principalmente pelo fato de poder adicionar minhas receitas e ter uma ideia das calorias",Adicionar receitas,Elogio,Positiva,Reflexiva,"Utilidade, Satisfação","Engajamento, Satisfação"
Ótimo pra nos ajudar a acompanhar! Pra mim está fazendo super efeito!,,Elogio,Positiva,Reflexiva,"Utilidade, Satisfação",Satisfação
Simples e prático,,Elogio,Positiva,Reflexiva,"Aprendizado, Satisfação",Satisfação
"Olha eu queria que tivesse um contador de macros de graça! E que, de graça, nós teriamos mais oportunidades de contar varios nutrientes!! Por favor! Coloquem mais opções para pessoas fitness e saudáveis!",Contador de macro de graça,Sugestão,Neutra,Reflexiva,Utilidade,
Muito bom!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Muito bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Excelente,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Ótimo aplicativo para quem quer ficar em forma,,Elogio,Positiva,Reflexiva,"Utilidade, Satisfação","Satisfação, Motivação"
Ótimo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"O app é bom, pratico e simples de entender",,Elogio,Positiva,Reflexiva,"Aprendizado, Satisfação",Satisfação
Muito bom! Está me ajudando muito na perda de peso! Recomendo!,,Elogio,Positiva,Reflexiva,Satisfação,"Satisfação, Motivação"
"Vale a pena, não quero dizer que perdi 15kg por causa do APP",,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Mas ele me ajudou e muito além de estimular! Obs: não consigo acessar esse app,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Toda hora trava e sai,App travando,Crítica,Negativa,Comportamental,Eficácia,
#Lamentável,,Crítica,Negativa,Visceral,,Frustração
Aplicativo muito útil e vem me axiliado bastante para verificar os alimentos qure venho consumindo,,Elogio,Positiva,Reflexiva,"Utilidade, Satisfação",Satisfação
Muito bom! Mesmo a versão free,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Meu aliado diariamente,,Elogio,Positiva,Reflexiva,Satisfação,"Satisfação, Afeto"
"O app e bom, mas poderia ter uma lista se compras que ajudaria e poderia ter a opção de cadastrar dieta da nutricionista","Lista de compras, Cadastrar dieta da nutricionista",Elogio / Sugestão,Neutra,Reflexiva,Satisfação / Utilidade,Satisfação / 
"Excelente app, estou gostando bastante e está me ajudando",,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Gostei do app,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Muito detalhado e está me ajudando bastante,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Muito bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"Me apareceu a tela de um mês grátis e ao clicar ele me fez uma cobrança de 31,99 no meu cartão de crédito, o aplicativo é bom em si na versão grátis mas nem em sonho vale esse valor por mês e ainda enganam dizendo que é um mês grátis, decepcionada",Valor do plano Premium / Cobrança indevida,Crítica,Neutra,Reflexiva,Segurança,Frustração
muito bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
O problema é que a contagem de macros é paga,Contagem de macros paga,Crítica,Negativa,Visceral,,Frustração
Muito bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"Uso a um bom tempo, mas infelizmente a função progresso não está funcionando, e realmente faz falta para o acompanhamento",Progresso,Crítica,Negativa,Reflexiva,Eficácia,"Frustração, Engajamento"
"Acabei de diminuir minha nota de avaliação do app devido ao bug na aba ""progresso"", faz muitos meses que está ocorrendo esse erro",Progresso,Crítica,Negativa,Reflexiva,Eficácia,Frustração
Ajuda muito e tem todos os alimentos!!,Alimentos cadastrados,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
"Ótimo app, tem me ajudado muito!",,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
"Muito bom, estou gostando muito pois tem me ""controlado"" nas comilanças",,Elogio,Positiva,Reflexiva,Satisfação,"Satisfação, Motivação"
"Muito bom, ajuda demais quem quer controlar o peso, seja no ganho ou na perda",,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Muito Bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Perfeito p dieta,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Muito bom!!!!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"Poderia ter mais opções de Cardio como: q48, hiit",Opções de Cardio,Sugestão,Neutra,Reflexiva,Utilidade,
"Gostei do app, me ajuda diaramente a contar os macros !!!",Contar os macros,Elogio,Positiva,Reflexiva,Satisfação,"Satisfação, Motivação"
"Me ajudou muito, já perdi 6kg",,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Satisfatório,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Ótimo para controlar a alimentação,,Elogio,Positiva,Reflexiva,Satisfação,"Satisfação, Motivação"
Prático de usar,,Elogio,Positiva,Reflexiva,Aprendizado,
Excelent!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
O melhor!!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"Muito útil o aplicativo, ótimo no auxílio da dieta",,Elogio,Positiva,Reflexiva,"Utilidade, Satisfação","Satisfação, Motivação"
Muito bom!! Me ajuda a manter a linha!!,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Bom !,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Bom demais,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Ajuda!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Adorei! Parabéns pelo app!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Satisfação,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Ajuda imenso,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Mto bom,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
"Muito prático o app, facilitou demais a controlar o consumo calórico diário",,Elogio,Positiva,Reflexiva,"Aprendizado, Satisfação",Satisfação
Otimo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Muito bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Muito bom!!!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"Ótimo, is Very good",,Elogio,Positiva,Visceral,Satisfação,Satisfação
Ótimo app!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Melhor contador de calorias sem duvidas,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Muito bom para acompanhar os macros,Acompanhar macros,Elogio,Positiva,Reflexiva,Satisfação,"Satisfação, Motivação"
Ótimo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Muito bom aplicativo,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
"Excelente app, precisa ter a opção de colocar os exercíciospraticados",Colocar exercícios praticados,Elogio / Sugestão,Positiva,Reflexiva,Satisfação / Utilidade,Satisfação / 
Não consegui adicionar uma receita,Adicionar receita,Crítica,Negativa,Comportamental,Eficácia,
Sempre diz pra tentar mais tarde,,Crítica,Negativa,Comportamental,Eficácia,
Nao tem app melhor! Show! Estão de parabéns!,,Elogio / Comparação,Positiva,Reflexiva,Satisfação,Satisfação
Conta certinho as calorias do dia e dos exercícios feitos também,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
"Muito bom, parabéns a quem o criou",,Elogio,Positiva,Visceral,Satisfação,Satisfação
Excelente,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Único ponto a melhorar é q faltam exercícios,Faltam exercícios,Crítica,Negativa,Reflexiva,Utilidade,
Excelente app para contar os macronutrientes,Contar os macros,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Muuuuuuito bom !,,Elogio,Positiva,Visceral,Satisfação,Satisfação
E otimo poderia ser melhor,,Elogio,Positiva,Visceral,Satisfação,Satisfação
poderia ter como controlar a pressão arterial ea cafeina,Controlar pressão arterial e cafeína,Sugestão,Neutra,Reflexiva,Utilidade,
Top app,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"Muito bugado, não sincroniza direito com samsung health, não conta os passos",Sincronização com samsung health,Crítica,Negativa,Reflexiva,Eficácia,Frustração
Tem muito a melhorar,,Crítica,Neutra,Reflexiva,Utilidade,
Ótimo!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Muito bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Não é possível entrar,Fazer login,Crítica,Negativa,Comportamental,Eficácia,
Phoda,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Melhor aplicativo para controle de calorias e macronutrientes que já usei,Controle de calorias e macros,Elogio,Positiva,Reflexiva,"Utilidade, Satisfação",Satisfação
Ajuda muito a compreender onde e em que estamos errando na alimentação,,Elogio,Positiva,Reflexiva,"Utilidade, Satisfação",Satisfação
Estou gostando muito,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Me ajudou a perceber o quanto eu estava comendo errado!,,Elogio,Positiva,Reflexiva,"Utilidade, Satisfação",Satisfação
Muito prático! Perfeito para controlar a alimentação!,,Elogio,Positiva,Reflexiva,"Aprendizado, Satisfação","Satisfação, Motivação"
Muito bom para contar Macros e Caloria,Contar calorias e macros,Elogio,Positiva,Reflexiva,"Utilidade, Satisfação","Satisfação, Motivação"
Amo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"Muito bom,tem me ajudado",,Elogio,Positiva,Visceral,Satisfação,Satisfação
Oum excelente aplicativo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Ótimo app,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Adorando este programa de medições,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Top,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Muito bom ! O melhor Aplicativo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Melhor app da categoria! Tem tooodos os alimentos !!! Muito fácil de usar !!!,Variedade de alimentos,Elogio,Positiva,Reflexiva,"Aprendizado, Satisfação",Satisfação
Muito prática,,Elogio,Positiva,Reflexiva,"Aprendizado, Satisfação",Satisfação
Excelente app!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Muito bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
da uma noção muito boa de consumo calorico e contagem de macros,Contagem de macros,Elogio,Positiva,Reflexiva,"Satisfação, Utilidade",Satisfação
recomendo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Otimo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"Bom, da pra saber as macros do dua e ele avisa características dos alimentos qd vc acrescenta as refeições","Contagem de macros, Ver nutrientes do alimento",Elogio,Positiva,Reflexiva,"Utilidade, Satisfação",Satisfação
Ibdico pra qm qr controlar a dieta de uma forma mais fácil e rápida,,Elogio,Positiva,Reflexiva,Satisfação,"Satisfação, Motivação"
Entrega o que promete,,Elogio,Positiva,Reflexiva,"Eficácia, Satisfação",Satisfação
Muito Bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"Excelente, o melhor app que já vi na vida, bato palmas , nota mil",,Elogio,Positiva,Visceral,Satisfação,Satisfação
"Gostei muito, muito intuitivo de usar e útil para criar metas!",,Elogio,Positiva,Reflexiva,"Aprendizado, Utilidade, Satisfação",Satisfação
"muito bom , só falta testa os recursos Premium",,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
